Russian,English
я,I
не,not
что,what
в,in
и,And
ты,you
это,this
на,on the
с,from
он,is he
мы,we
как,how
вы,you
да,Yes
мне,to me
у,W.
нет,No
меня,me
так,So
но,but
а,but
его,his
все,all
она,she
тебя,you
о,about
если,if
за,behind
бы,would
тебе,you
они,they
чтобы,to
же,Same
есть,eat
просто,simply
из,from
к,to
для,for
ну,well
когда,when
хорошо,Okay
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
всё,all
было,It was
вас,you
может,maybe
нас,US
вот,here
от,from
быть,to be
кто,who
будет,will
почему,why
вам,to you
их,them
очень,very
могу,can
уже,already
спасибо,thanks
или,or
нам,US
еще,yet
там,there
нужно,necessary
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,of this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
п,P
до,before
этом,it is
потому,because
теперь,now
думаю,think
больше,more
её,her
со,SO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,Li
ещё,yet
пока,till
даже,even
привет,Hey
сказал,said
